Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729335723662,8618.29997253418,3720.0000000000005,1,1.375,8409.372604370117,3720.0000000000005,1,1.375,7851.4967041015625,4650,0,1.375,11287.056823730469,3720.0000000000005,1,1.375,5289.906723022461,3720.0000000000005,1,1.375,10071.087310791016,3720.0000000000005,1,1.375,6749.68196105957,4650,0,1.375,10822.885498046875,3720.0000000000005,1,1.375,3630.7093353271484,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,3.3333334922790527,0,0,0,3.4482758045196533,0,3.3333334922790527,3.3333334922790527,6.896551609039307,3.3333334922790527,3.4482758045196533,0,0,3.3333334922790527,0,3.4482758045196533,12282,499,5713,33,3,16621068288,57982050304,2751148032,0
199,1729335723662,8618.30046081543,3720.0000000000005,1,1.38125,8409.376449584961,3720.0000000000005,1,1.38125,7851.508743286133,3720.0000000000005,1,1.38125,11287.120895385742,4650,0,1.38125,5289.910614013672,3720.0000000000005,1,1.38125,10071.091827392578,3720.0000000000005,1,1.38125,6749.8133544921875,4650,0,1.38125,10822.885971069336,3720.0000000000005,1,1.38125,3631.002700805664,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,3.3333334922790527,0,0,0,3.4482758045196533,0,3.3333334922790527,3.3333334922790527,6.896551609039307,3.3333334922790527,3.4482758045196533,0,0,3.3333334922790527,0,3.4482758045196533,12282,499,5683,33,3,16621068288,57982050304,2776039424,0
199,1729335723863,8618.831680297852,3720.0000000000005,1,1.4,8409.901382446289,3720.0000000000005,1,1.4,7852.0404052734375,3720.0000000000005,1,1.4,11287.605361938477,4650,0,1.4,5290.457672119141,3720.0000000000005,1,1.4,10071.621490478516,3720.0000000000005,1,1.4,6751.516632080078,4650,0,1.4,10823.410659790039,3720.0000000000005,1,1.4,3636.967758178711,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,30.434782028198242,30.434782028198242,30.434782028198242,29.16666603088379,30.434782028198242,33.333335876464844,30.434782028198242,30.434782028198242,37.5,21.7391300201416,29.16666603088379,29.16666603088379,91.66667175292969,30.434782028198242,30.434782028198242,30.434782028198242,12282,499,5607,33,3,16621068288,57982050304,2816331776,0
199,1729335724063,8619.261260986328,3720.0000000000005,1,1.4,8410.08853149414,3720.0000000000005,1,1.4,7852.185958862305,3720.0000000000005,1,1.4,11287.758895874023,3720.0000000000005,1,1.4,5290.569137573242,4650,1,1.4,10071.662124633789,4650,0,1.39375,6753.175262451172,4650,0,1.39375,10823.464721679688,3720.0000000000005,1,1.39375,3640.442337036133,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,0,9.523809432983398,9.090909004211426,0,5,0,95,4.761904716491699,0,10,0,0,5,0,25,5,12282,504,5801,33,11,16621068288,57982050304,2849091584,0
199,1729335724263,8619.80241394043,3720.0000000000005,1,1.4,8410.610244750977,3720.0000000000005,1,1.4,7852.724456787109,3720.0000000000005,1,1.4,11288.299942016602,4650,0,1.4,5291.169189453125,3720.0000000000005,1,1.4,10072.205825805664,3720.0000000000005,1,1.4,6754.851776123047,4650,0,1.4,10823.987686157227,3720.0000000000005,1,1.4,3646.490219116211,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,36.842105865478516,35,36.842105865478516,35,35,35,100,36.842105865478516,35,35,42.85714340209961,35,35,35,35,35,12282,504,5777,33,11,16621068288,57982050304,2877464576,0
200,1729335724463,8619.948867797852,3720.0000000000005,1,1.3875,8410.68881225586,3720.0000000000005,1,1.3875,7852.849197387695,4650,0,1.3875,11288.393646240234,3720.0000000000005,1,1.3875,5291.311111450195,4650,0,1.3875,10072.26106262207,4650,0,1.3875,6756.730255126953,4650,0,1.3875,10824.154891967773,3720.0000000000005,1,1.3875,3649.989471435547,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,4.761904716491699,5,4.761904716491699,4.761904716491699,0,5,100,9.523809432983398,0,0,5,0,4.761904716491699,0,5,0,12282,504,5759,33,2,16621068288,57982050304,2899050496,0
199,1729335724663,8619.96890258789,3720.0000000000005,1,1.3875,8410.730590820313,3720.0000000000005,1,1.3875,7852.892776489258,3720.0000000000005,1,1.3875,11288.491348266602,3720.0000000000005,1,1.3875,5291.424530029297,4650,0,1.3875,10072.306182861328,4650,0,1.3875,6758.310317993164,4650,0,1.3875,10824.158569335938,3720.0000000000005,1,1.3875,3652.8267669677734,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,0,4.761904716491699,0,0,0,0,100,0,0,9.523809432983398,5.263157844543457,0,0,0,0,0,12282,504,5953,33,21,16621068288,57982050304,2929930240,0
199,1729335724863,8620.00131225586,3720.0000000000005,1,1.3,8410.77749633789,3720.0000000000005,1,1.3,7852.969284057617,3720.0000000000005,1,1.3,11288.645904541016,3720.0000000000005,1,1.3,5291.520736694336,4650,1,1.39375,10072.341522216797,3720.0000000000005,1,1.39375,6759.961273193359,4650,0,1.39375,10824.162216186523,3720.0000000000005,1,1.39375,3655.8079223632813,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,0,5,0,5,0,4.761904716491699,38.095237731933594,0,0,0,5,0,66.66667175292969,0,0,0,12282,504,6199,33,24,16621068288,57982050304,2997411840,0
199,1729335725063,8620.01969909668,3720.0000000000005,1,1.325,8410.828994750977,3720.0000000000005,1,1.325,7853.068359375,3720.0000000000005,1,1.325,11288.751678466797,3720.0000000000005,1,1.325,5291.606109619141,3720.0000000000005,1,1.325,10072.383346557617,3720.0000000000005,1,1.325,6762.006164550781,4650,0,1.325,10824.18179321289,3720.0000000000005,1,1.325,3659.1675415039063,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,0,0,5,0,0,0,100,0,0,0,5,0,0,0,0,0,12282,504,6384,33,23,16621068288,57982050304,3012542464,0
199,1729335725263,8620.096069335938,3720.0000000000005,1,1.40625,8410.868270874023,3720.0000000000005,1,1.40625,7853.100341796875,3720.0000000000005,1,1.40625,11288.876754760742,3720.0000000000005,1,1.40625,5291.699279785156,4650,0,1.40625,10072.411209106445,3720.0000000000005,1,1.40625,6764.143478393555,4650,0,1.40625,10824.213439941406,3720.0000000000005,1,1.40625,3662.6214752197266,4213,4035,4305,3749,3712,3712,3715,400,4059,3712,4012,3712,3950,4640,3738,3979,0,0,0,0,0,0,100,0,0,5,5,0,5,0,5,0,12282,504,6501,33,22,16621068288,57982050304,3029831680,0
