Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729339904298,10057.39663696289,3720.0000000000005,1,1.2875,12471.531723022461,3720.0000000000005,1,1.38125,9296.21174621582,3720.0000000000005,1,1.38125,12856.435745239258,4650,0,1.38125,6815.355545043945,3720.0000000000005,1,1.38125,14441.07698059082,3720.0000000000005,1,1.38125,8508.554229736328,4650,0,1.38125,12219.239151000977,3720.0000000000005,1,1.38125,38632.6399230957,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,0,0,3.3333334922790527,10,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,0,3.4482758045196533,0,6.6666669845581055,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,12282,503,5418,33,3,16621068288,57982050304,2797314048,0
199,1729339904298,10057.398956298828,3720.0000000000005,1,1.3875,12471.532089233398,3720.0000000000005,1,1.3875,9296.212005615234,3720.0000000000005,1,1.3875,12856.500045776367,4650,0,1.3875,6815.355819702148,3720.0000000000005,1,1.38125,14441.077590942383,3720.0000000000005,1,1.38125,8508.684158325195,4650,0,1.38125,12219.250701904297,4650,0,1.38125,38632.92741394043,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,0,0,3.3333334922790527,10,3.3333334922790527,0,3.3333334922790527,3.3333334922790527,0,3.4482758045196533,0,6.6666669845581055,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,12282,503,5418,33,3,16621068288,57982050304,2801184768,0
199,1729339904498,10057.926849365234,3720.0000000000005,1,1.29375,12472.066543579102,3720.0000000000005,1,1.29375,9296.735092163086,3720.0000000000005,1,1.29375,12858.066543579102,4650,0,1.3,6815.881973266602,4650,1,1.3875,14441.604278564453,3720.0000000000005,1,1.3875,8509.28335571289,3720.0000000000005,1,1.3875,12219.79702758789,3720.0000000000005,1,1.3875,38638.81507873535,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,30.434782028198242,36,30.434782028198242,82.60869598388672,30.434782028198242,30.434782028198242,29.16666603088379,33.333335876464844,30.434782028198242,29.16666603088379,30.434782028198242,30.434782028198242,41.666664123535156,30.434782028198242,30.434782028198242,30.434782028198242,12282,503,5399,33,3,16621068288,57982050304,2827243520,0
199,1729339904698,10058.377456665039,3720.0000000000005,1,1.39375,12472.199813842773,3720.0000000000005,1,1.39375,9296.805435180664,3720.0000000000005,1,1.39375,12859.727111816406,4650,0,1.39375,6815.996032714844,4650,0,1.39375,14441.741088867188,3720.0000000000005,1,1.39375,8509.322769165039,3720.0000000000005,1,1.39375,12219.847778320313,3720.0000000000005,1,1.39375,38642.153228759766,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,25,0,0,100,5,4.761904716491699,0,5,5,5,5,5,0,0,0,5,12282,504,5507,33,13,16621068288,57982050304,2877132800,0
199,1729339904899,10058.899291992188,3720.0000000000005,1,1.3875,12472.760787963867,3720.0000000000005,1,1.3875,9297.357009887695,3720.0000000000005,1,1.3875,12861.291580200195,4650,0,1.3875,6816.592208862305,4650,0,1.3875,14442.260955810547,3720.0000000000005,1,1.3875,8509.89631652832,3720.0000000000005,1,1.3875,12220.396560668945,3720.0000000000005,1,1.3875,38648.07957458496,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,35,35,36.842105865478516,95.23809814453125,40,35,35,35,35,35,35,35,36.842105865478516,35,38.095237731933594,35,12282,504,5604,33,11,16621068288,57982050304,2897551360,0
199,1729339905099,10059.009841918945,3720.0000000000005,1,1.4,12472.915802001953,3720.0000000000005,1,1.4,9297.42610168457,3720.0000000000005,1,1.4,12863.078201293945,4650,0,1.4,6816.689666748047,4650,0,1.4,14442.33349609375,3720.0000000000005,1,1.4,8509.943130493164,3720.0000000000005,1,1.4,12220.427139282227,4650,0,1.4,38651.30212402344,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,5,10,0,100,5,5,0,0,5,0,0,0,0,0,0,0,12282,504,5592,33,3,16621068288,57982050304,2915631104,0
199,1729339905299,10059.014282226563,3720.0000000000005,1,1.39375,12473.06640625,3720.0000000000005,1,1.39375,9297.474624633789,3720.0000000000005,1,1.39375,12864.655731201172,4650,0,1.39375,6816.800094604492,3720.0000000000005,1,1.39375,14442.386291503906,3720.0000000000005,1,1.39375,8509.980560302734,3720.0000000000005,1,1.39375,12220.458999633789,4650,0,1.39375,38654.17485046387,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,0,0,0,100,9.523809432983398,0,0,0,0,9.090909004211426,0,5,0,0,0,5,12282,504,5762,33,25,16621068288,57982050304,2940551168,0
199,1729339905499,10059.056381225586,3720.0000000000005,1,1.375,12473.228546142578,3720.0000000000005,1,1.375,9297.490463256836,3720.0000000000005,1,1.375,12866.327911376953,4650,0,1.375,6816.958251953125,4650,0,1.375,14442.428298950195,3720.0000000000005,1,1.375,8510.019790649414,3720.0000000000005,1,1.375,12220.485946655273,4650,0,1.375,38657.2131652832,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,0,0,0,100,5,0,0,0,0,0,5,4.761904716491699,5,0,0,0,12282,504,6071,33,26,16621068288,57982050304,3016925184,0
199,1729339905699,10059.071502685547,3720.0000000000005,1,1.40625,12473.37321472168,3720.0000000000005,1,1.40625,9297.506378173828,3720.0000000000005,1,1.40625,12868.346450805664,4650,0,1.4,6817.106140136719,4650,0,1.4,14442.46664428711,3720.0000000000005,1,1.4,8510.050582885742,3720.0000000000005,1,1.4,12220.503952026367,4650,0,1.4,38660.48155212402,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,0,0,0,100,5.263157844543457,0,0,4.761904716491699,4.761904716491699,0,5,0,0,0,0,0,12282,504,6382,33,26,16621068288,57982050304,3033931776,0
199,1729339905899,10059.156829833984,3720.0000000000005,1,1.3125,12473.478775024414,3720.0000000000005,1,1.3125,9297.571472167969,3720.0000000000005,1,1.3125,12870.517471313477,4650,0,1.3125,6817.24641418457,3720.0000000000005,1,1.3125,14442.518844604492,3720.0000000000005,1,1.3125,8510.131042480469,3720.0000000000005,1,1.3125,12220.551467895508,3720.0000000000005,1,1.4,38664.126205444336,4641,3725,400,400,400,4641,4157,400,3912,3767,4643,400,400,3705,400,3692,0,9.090909004211426,4.761904716491699,100,5,0,0,0,0,0,5,0,0,0,0,5,12282,504,6438,33,26,16621068288,57982050304,3035545600,0
