Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729347833321,12700.675216674805,3720.0000000000005,1,1.3875,15307.25717163086,3720.0000000000005,1,1.3875,17340.9395904541,3720.0000000000005,1,1.3875,15577.196395874023,3720.0000000000005,1,1.3875,9358.694396972656,3720.0000000000005,1,1.3875,20064.33432006836,4650,0,1.3875,11794.55534362793,3720.0000000000005,1,1.3875,17434.42709350586,4650,0,1.3875,39291.24948120117,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,6.6666669845581055,6.6666669845581055,0,3.5714287757873535,3.5714287757873535,3.4482758045196533,3.3333334922790527,3.5714287757873535,3.5714287757873535,0,3.4482758045196533,7.407407283782959,3.4482758045196533,7.142857551574707,3.4482758045196533,0,12282,500,5789,33,11,16621068288,57982050304,2951409664,0
199,1729347833321,12700.675537109375,3720.0000000000005,1,1.3875,15307.259506225586,3720.0000000000005,1,1.3875,17340.939865112305,3720.0000000000005,1,1.3875,15577.196853637695,3720.0000000000005,1,1.3875,9358.698486328125,3720.0000000000005,1,1.3875,20064.393188476563,4650,0,1.3875,11794.555633544922,3720.0000000000005,1,1.3875,17434.549606323242,4650,0,1.3875,39291.496154785156,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,6.6666669845581055,6.6666669845581055,0,3.5714287757873535,3.5714287757873535,3.4482758045196533,3.3333334922790527,3.5714287757873535,3.5714287757873535,0,3.4482758045196533,7.407407283782959,3.4482758045196533,7.142857551574707,3.4482758045196533,0,12282,500,5781,33,2,16621068288,57982050304,2959638528,0
199,1729347833522,12701.210983276367,3720.0000000000005,1,1.3625,15307.8525390625,3720.0000000000005,1,1.3625,17341.474822998047,3720.0000000000005,1,1.3625,15577.72866821289,3720.0000000000005,1,1.3625,9359.237121582031,3720.0000000000005,1,1.3625,20064.897018432617,4650,0,1.3625,11795.110336303711,3720.0000000000005,1,1.3625,17436.316482543945,4650,0,1.3625,39297.48471069336,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,30.434782028198242,31.81818199157715,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,91.30435180664063,29.16666603088379,30.434782028198242,30.434782028198242,29.16666603088379,31.81818199157715,30.434782028198242,30.434782028198242,33.333335876464844,12282,502,5794,33,3,16621068288,57982050304,2982883328,0
199,1729347833722,12701.295791625977,3720.0000000000005,1,1.3875,15308.061798095703,3720.0000000000005,1,1.375,17341.824462890625,3720.0000000000005,1,1.375,15577.78044128418,4650,0,1.375,9359.281021118164,4650,0,1.375,20064.98405456543,4650,0,1.375,11795.144332885742,3720.0000000000005,1,1.375,17438.040069580078,3720.0000000000005,1,1.375,39300.90881347656,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,0,5,0,0,4.761904716491699,0,0,100,15.789472579956055,5,0,5,0,5,0,5,12282,505,5927,33,19,16621068288,57982050304,3031101440,0
199,1729347833922,12701.825714111328,3720.0000000000005,1,1.3,15308.605407714844,3720.0000000000005,1,1.3,17342.35317993164,3720.0000000000005,1,1.3,15578.31494140625,3720.0000000000005,1,1.3,9359.815734863281,3720.0000000000005,1,1.3,20065.568283081055,3720.0000000000005,1,1.3,11795.673324584961,3720.0000000000005,1,1.3,17439.667892456055,4650,0,1.3,39306.769454956055,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,35,35,35,35,36.842105865478516,35,36.842105865478516,95.23809814453125,38.095237731933594,38.095237731933594,35,40,42.85714340209961,35,36.842105865478516,35,12282,505,5906,33,2,16621068288,57982050304,3053338624,0
199,1729347834122,12701.914245605469,3720.0000000000005,1,1.3875,15308.740844726563,3720.0000000000005,1,1.3875,17342.495086669922,3720.0000000000005,1,1.3875,15578.348373413086,3720.0000000000005,1,1.3875,9359.926025390625,3720.0000000000005,1,1.3875,20065.64356994629,4650,0,1.3875,11795.705429077148,3720.0000000000005,1,1.3875,17441.46351623535,4650,0,1.3875,39310.02410888672,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,4.761904716491699,5,4.761904716491699,4.761904716491699,0,0,0,100,10,0,5,0,0,0,0,0,12282,505,5878,33,6,16621068288,57982050304,3076894720,0
199,1729347834322,12701.98796081543,3720.0000000000005,1,1.30625,15308.84001159668,3720.0000000000005,1,1.39375,17342.52653503418,3720.0000000000005,1,1.39375,15578.35107421875,3720.0000000000005,1,1.39375,9359.989547729492,3720.0000000000005,1,1.39375,20065.7266998291,4650,0,1.39375,11795.745468139648,3720.0000000000005,1,1.39375,17442.985290527344,4650,0,1.39375,39312.807540893555,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,9.523809432983398,5,4.761904716491699,0,5,0,0,100,0,0,0,5,0,9.523809432983398,4.761904716491699,0,12282,505,6016,33,23,16621068288,57982050304,3099324416,0
199,1729347834522,12702.108505249023,3720.0000000000005,1,1.4,15308.924102783203,3720.0000000000005,1,1.4,17342.560638427734,3720.0000000000005,1,1.4,15578.387832641602,3720.0000000000005,1,1.4,9360.052185058594,3720.0000000000005,1,1.4,20065.876678466797,3720.0000000000005,1,1.4,11795.82389831543,3720.0000000000005,1,1.4,17444.594772338867,4650,0,1.4,39315.83045959473,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,0,0,0,0,5,0,0,100,0,0,0,9.523809432983398,9.523809432983398,0,0,0,12282,505,6244,33,23,16621068288,57982050304,3113259008,0
199,1729347834722,12702.185546875,3720.0000000000005,1,1.4,15308.946640014648,3720.0000000000005,1,1.4,17342.605865478516,3720.0000000000005,1,1.4,15578.408218383789,3720.0000000000005,1,1.4,9360.059967041016,3720.0000000000005,1,1.4,20066.03094482422,4650,0,1.4,11795.887802124023,3720.0000000000005,1,1.4,17446.4404296875,4650,0,1.4,39318.858001708984,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,0,0,0,0,0,5,0,100,0,0,0,5,0,0,4.761904716491699,4.761904716491699,12282,505,6388,33,23,16621068288,57982050304,3122794496,0
199,1729347834922,12702.239303588867,3720.0000000000005,1,1.3875,15308.986206054688,3720.0000000000005,1,1.3875,17342.636459350586,3720.0000000000005,1,1.3875,15578.444046020508,3720.0000000000005,1,1.3875,9360.06689453125,3720.0000000000005,1,1.3875,20066.193634033203,4650,0,1.3875,11795.926544189453,3720.0000000000005,1,1.3875,17447.926803588867,4650,0,1.3875,39321.60710144043,4640,3709,4638,400,3745,400,400,3712,4641,400,3857,4220,3837,4065,3981,400,0,0,0,0,0,0,0,100,5,0,0,10,5,4.761904716491699,0,0,12282,505,6522,33,22,16621068288,57982050304,3126448128,0
