__run_id,__done,dataset,hardware,execution_time_(ms),peak_memory_(B),energy_consumption_(J),cpu_energy_(J),gpu_energy_(J),mean_cpu_utilization_(%),mean_gpu_utilization_(%),max_cpu_utilization_(%),max_gpu_utilization_(%)
run_6_repetition_14,DONE,high_spar_TPM.csv,CPU,19875,5300154368,826.4036712646484,826.4036712646484,0,47.778972549013574,3.9405940594059405,100.0,23
run_7_repetition_14,DONE,high_spar_TPM.csv,GPU,4802,3692089344,188.9826560908203,75.44416809082031,113.538488,9.29181028329409,7.423076923076923,100.0,24
run_8_repetition_14,DONE,high_spar_CPM.csv,CPU,20095,5239947264,824.2051696777344,824.2051696777344,0,48.111401287802295,3.911764705882353,100.0,23
run_9_repetition_14,DONE,high_spar_CPM.csv,GPU,4804,3787530240,191.3082141328125,75.6182861328125,115.68992800000001,9.343884035371818,7.461538461538462,100.0,24
run_10_repetition_14,DONE,low_spar_CPM.csv,CPU,20082,5233479680,833.1568298339844,833.1568298339844,0,47.24024857843624,3.9313725490196076,100.0,23
run_11_repetition_14,DONE,low_spar_CPM.csv,GPU,4803,3701018624,190.79675407226563,76.19717407226562,114.59958,9.246717157272194,7.576923076923077,100.0,23
run_0_repetition_15,DONE,GDS3900_CPM.csv,CPU,22008,3486044160,327.6619873046875,327.6619873046875,0,7.512792928410428,3.9732142857142856,100.0,25
run_1_repetition_15,DONE,GDS3900_CPM.csv,GPU,2201,3280523264,83.20673271582032,37.81330871582031,45.393424,13.772422117682606,8.615384615384615,100.0,23
run_2_repetition_15,DONE,GDS3900_TPM.csv,CPU,241894,4091424768,4236.860164691407,4212.912658691406,23.947506,7.0295524727230125,2.9933938893476464,100.0,23
run_3_repetition_15,DONE,GDS3900_TPM.csv,GPU,2201,3280687104,84.70677201953126,37.98614501953125,46.720627,11.620115133432243,7.538461538461538,100.0,23
run_4_repetition_15,DONE,low_spar_TPM.csv,CPU,20094,5278007296,831.5842590331958,831.5842590331958,0,48.204775673501636,4.0588235294117645,100.0,23
run_5_repetition_15,DONE,low_spar_TPM.csv,GPU,4803,3773739008,191.89854334179688,74.79660034179688,117.101943,9.292830717105131,7.3076923076923075,100.0,23
run_6_repetition_15,DONE,high_spar_TPM.csv,CPU,20086,5335425024,826.1102752685474,826.1102752685474,0,48.184186279627625,3.9313725490196076,100.0,23
run_7_repetition_15,DONE,high_spar_TPM.csv,GPU,4803,3684704256,192.52182076464845,76.63023376464844,115.891587,9.346467990141647,7.3076923076923075,100.0,23
run_8_repetition_15,DONE,high_spar_CPM.csv,CPU,20103,5301293056,827.0472564697338,827.0472564697338,0,47.890336024118405,4.029411764705882,100.0,24
run_9_repetition_15,DONE,high_spar_CPM.csv,GPU,4802,3734249472,191.25110149511718,74.93705749511719,116.314044,9.186438819536797,7.461538461538462,100.0,24
run_10_repetition_15,DONE,low_spar_CPM.csv,CPU,20092,5306396672,832.4473724365234,832.4473724365234,0,48.382626538183175,4.0588235294117645,100.0,24
run_11_repetition_15,DONE,low_spar_CPM.csv,GPU,4802,3765248000,190.15088674218748,76.1610107421875,113.989876,9.435343871896084,7.1923076923076925,100.0,23
run_0_repetition_16,DONE,GDS3900_CPM.csv,CPU,24411,3505938432,357.69313049316406,357.69313049316406,0,7.568499451443072,3.7661290322580645,100.0,23
run_1_repetition_16,DONE,GDS3900_CPM.csv,GPU,2202,3289825280,80.00829083398438,37.359954833984375,42.64833599999999,11.57942057114381,9.0,100.0,23
run_2_repetition_16,DONE,GDS3900_TPM.csv,CPU,246297,4055494656,4240.283892998047,4225.506072998047,14.77782,7.055555954092128,3.010543390105434,100.0,24
run_3_repetition_16,DONE,GDS3900_TPM.csv,GPU,2201,3316260864,83.57997828124999,39.03173828125,44.54824,11.872062960496315,7.615384615384615,100.0,23
run_4_repetition_16,DONE,low_spar_TPM.csv,CPU,20092,5288718336,831.0924563242188,830.1481323242188,0.9443239999999999,48.168730416718645,4.049019607843137,100.0,23
run_5_repetition_16,DONE,low_spar_TPM.csv,GPU,4803,3780165632,191.79266343749998,75.2958984375,116.496765,9.293977320194244,7.423076923076923,100.0,24
run_6_repetition_16,DONE,high_spar_TPM.csv,CPU,19881,5274202112,823.5590515136646,823.5590515136646,0,47.7899302763514,3.9702970297029703,100.0,22
run_7_repetition_16,DONE,high_spar_TPM.csv,GPU,4803,3754967040,192.85404247363283,76.41011047363281,116.443932,9.327948682583296,7.461538461538462,100.0,24
run_8_repetition_16,DONE,high_spar_CPM.csv,CPU,19893,5288738816,821.7595367431641,821.7595367431641,0,48.01701395051314,4.118811881188119,100.0,23
run_9_repetition_16,DONE,high_spar_CPM.csv,GPU,4802,3733610496,188.53115172070318,75.35281372070318,113.178338,9.145434113649223,7.3076923076923075,100.0,23
run_10_repetition_16,DONE,low_spar_CPM.csv,CPU,20080,5290459136,828.280029296875,828.280029296875,0,48.174396435419716,4.03921568627451,100.0,24
run_11_repetition_16,DONE,low_spar_CPM.csv,GPU,4802,3733680128,190.83961015527342,76.00938415527344,114.830226,9.397358498894251,7.346153846153846,100.0,24
run_0_repetition_17,DONE,GDS3900_CPM.csv,CPU,21609,3559223296,319.8506164550781,319.8506164550781,0,7.601132742789658,3.909090909090909,100.0,23
