Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729356921473,18764.469757080078,3720.0000000000005,1,1.2875,19164.03384399414,3720.0000000000005,1,1.2875,25241.168853759766,3720.0000000000005,1,1.2875,18736.480407714844,4650,0,1.2875,12348.208801269531,3720.0000000000005,1,1.2875,22686.95964050293,3720.0000000000005,1,1.2875,15639.970794677734,3720.0000000000005,1,1.2875,25878.892196655273,3720.0000000000005,1,1.2875,50772.818298339844,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,0,6.896551609039307,0,0,3.3333334922790527,0,6.6666669845581055,0,3.3333334922790527,10,6.45161247253418,3.3333334922790527,3.4482758045196533,3.4482758045196533,0,6.6666669845581055,12282,498,5772,33,3,16621068288,57982050304,3072180224,0
199,1729356921474,18764.587600708008,4650,0,1.375,19164.03825378418,4650,0,1.375,25241.169036865234,3720.0000000000005,1,1.375,18736.54118347168,4650,0,1.375,12348.208984375,3720.0000000000005,1,1.375,22686.967315673828,3720.0000000000005,1,1.375,15639.970962524414,3720.0000000000005,1,1.375,25878.892364501953,3720.0000000000005,1,1.375,50773.054946899414,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,0,6.896551609039307,0,0,3.3333334922790527,0,6.6666669845581055,0,3.3333334922790527,10,6.45161247253418,3.3333334922790527,3.4482758045196533,3.4482758045196533,0,6.6666669845581055,12282,498,5772,33,3,16621068288,57982050304,3080179712,0
199,1729356921674,18766.290420532227,4650,0,1.35625,19164.583084106445,3720.0000000000005,1,1.35625,25241.729125976563,3720.0000000000005,1,1.35625,18737.031539916992,3720.0000000000005,1,1.35625,12348.750091552734,4650,0,1.35625,22687.503829956055,3720.0000000000005,1,1.35625,15640.549667358398,3720.0000000000005,1,1.35625,25879.421112060547,3720.0000000000005,1,1.35625,50779.038833618164,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,30.434782028198242,29.16666603088379,36,30.434782028198242,30.434782028198242,34.78260803222656,30.434782028198242,30.434782028198242,30.434782028198242,27.272727966308594,30.434782028198242,30.434782028198242,27.272727966308594,30.434782028198242,95.65217590332031,30.434782028198242,12282,498,5782,33,3,16621068288,57982050304,3120943104,0
199,1729356921874,18767.770965576172,4650,0,1.2625,19164.718521118164,3720.0000000000005,1,1.2625,25241.880798339844,3720.0000000000005,1,1.2625,18737.47543334961,3720.0000000000005,1,1.2625,12348.882125854492,3720.0000000000005,1,1.2625,22687.58168029785,3720.0000000000005,1,1.2625,15640.588806152344,3720.0000000000005,1,1.2625,25879.456512451172,3720.0000000000005,1,1.35625,50782.271560668945,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,0,0,5.263157844543457,0,0,0,0,0,5,25,5.263157844543457,0,5,4.761904716491699,95.23809814453125,0,12282,501,5900,33,13,16621068288,57982050304,3176628224,0
199,1729356922074,18769.368545532227,4650,0,1.26875,19165.247116088867,3720.0000000000005,1,1.26875,25242.417022705078,3720.0000000000005,1,1.26875,18737.997314453125,3720.0000000000005,1,1.26875,12349.464645385742,3720.0000000000005,1,1.26875,22688.103713989258,3720.0000000000005,1,1.26875,15641.116500854492,3720.0000000000005,1,1.26875,25879.97332763672,3720.0000000000005,1,1.26875,50788.12504577637,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,35,35,35,35,35,35,35,35,35,38.095237731933594,40,35,35,35,100,35,12282,501,5949,33,11,16621068288,57982050304,3195564032,0
199,1729356922274,18771.064208984375,4650,0,1.35625,19165.295623779297,4650,0,1.35625,25242.454055786133,3720.0000000000005,1,1.35625,18738.08171081543,3720.0000000000005,1,1.35625,12349.570114135742,4650,0,1.35625,22688.228103637695,3720.0000000000005,1,1.35625,15641.166702270508,3720.0000000000005,1,1.35625,25880.057525634766,3720.0000000000005,1,1.35625,50791.11219787598,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,5,0,0,9.523809432983398,0,0,4.761904716491699,5,0,0,5,14.285715103149414,5,0,100,0,12282,501,5978,33,3,16621068288,57982050304,3214581760,0
199,1729356922474,18772.506591796875,4650,0,1.26875,19165.376556396484,3720.0000000000005,1,1.26875,25242.484771728516,3720.0000000000005,1,1.35625,18738.128021240234,3720.0000000000005,1,1.35625,12349.705627441406,4650,0,1.35625,22688.23014831543,3720.0000000000005,1,1.35625,15641.22802734375,3720.0000000000005,1,1.35625,25880.096633911133,3720.0000000000005,1,1.35625,50793.87678527832,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,0,5,0,0,9.523809432983398,0,0,4.761904716491699,0,0,9.523809432983398,0,0,0,100,4.761904716491699,12282,501,6170,33,25,16621068288,57982050304,3233144832,0
200,1729356922674,18773.948791503906,4650,0,1.275,19165.48649597168,3720.0000000000005,1,1.275,25242.57112121582,3720.0000000000005,1,1.275,18738.181060791016,3720.0000000000005,1,1.275,12349.863739013672,3720.0000000000005,1,1.275,22688.272079467773,3720.0000000000005,1,1.275,15641.312408447266,3720.0000000000005,1,1.275,25880.176391601563,3720.0000000000005,1,1.275,50796.82287597656,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,0,0,0,0,0,0,0,0,5,4.761904716491699,5,0,0,0,100,5,12282,501,6441,33,29,16621068288,57982050304,3253002240,0
199,1729356922874,18775.630889892578,4650,0,1.36875,19165.573699951172,3720.0000000000005,1,1.36875,25242.68589782715,3720.0000000000005,1,1.36875,18738.22088623047,3720.0000000000005,1,1.36875,12349.950134277344,3720.0000000000005,1,1.36875,22688.277221679688,3720.0000000000005,1,1.36875,15641.345230102539,3720.0000000000005,1,1.36875,25880.22200012207,3720.0000000000005,1,1.36875,50799.774963378906,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,0,4.761904716491699,5,0,0,0,0,0,0,0,5,0,0,0,100,0,12282,501,6731,33,28,16621068288,57982050304,3264749568,0
199,1729356923074,18777.0263671875,4650,0,1.35,19165.661499023438,4650,0,1.35,25242.787475585938,3720.0000000000005,1,1.35,18738.25927734375,4650,0,1.35,12350.030410766602,4650,0,1.35,22688.279693603516,3720.0000000000005,1,1.35,15641.37971496582,3720.0000000000005,1,1.35,25880.284469604492,3720.0000000000005,1,1.35,50802.52137756348,400,3812,400,3731,400,400,4052,4382,400,4641,3698,3753,4641,400,3721,4640,0,0,5,0,5,0,0,0,5,4.761904716491699,0,0,0,5,100,5,12282,501,6811,33,29,16621068288,57982050304,3285123072,0
