Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729344825977,11532.498443603516,3720.0000000000005,1,1.38125,14355.447463989258,3720.0000000000005,1,1.38125,16121.504302978516,3720.0000000000005,1,1.38125,14599.908386230469,3720.0000000000005,1,1.38125,8205.44058227539,4650,0,1.38125,18950.23472595215,4650,0,1.38125,10505.809524536133,4650,0,1.38125,13696.073471069336,3720.0000000000005,1,1.38125,15166.293380737305,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,0,3.3333334922790527,0,0,10,6.25,6.45161247253418,3.3333334922790527,3.3333334922790527,10,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,6.6666669845581055,3.4482758045196533,12282,500,5707,33,5,16621068288,57982050304,2911653888,0
199,1729344825977,11532.498764038086,3720.0000000000005,1,1.3875,14355.447708129883,3720.0000000000005,1,1.3875,16121.504531860352,3720.0000000000005,1,1.38125,14599.908676147461,3720.0000000000005,1,1.38125,8205.504501342773,4650,0,1.38125,18950.242446899414,4650,0,1.38125,10505.811386108398,3720.0000000000005,1,1.38125,13696.20231628418,4650,0,1.38125,15166.583526611328,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,0,3.3333334922790527,0,0,10,6.25,6.45161247253418,3.3333334922790527,3.3333334922790527,10,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,6.6666669845581055,3.4482758045196533,12282,500,5707,33,5,16621068288,57982050304,2915524608,0
199,1729344826177,11533.033599853516,3720.0000000000005,1,1.3,14355.970901489258,3720.0000000000005,1,1.3,16122.03091430664,3720.0000000000005,1,1.3875,14600.43962097168,3720.0000000000005,1,1.3875,8206.010437011719,4650,0,1.3875,18950.7901763916,3720.0000000000005,1,1.3875,10506.355239868164,3720.0000000000005,1,1.3875,13697.916961669922,4650,0,1.3875,15172.550872802734,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,33.333335876464844,29.16666603088379,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,29.16666603088379,30.434782028198242,29.16666603088379,30.434782028198242,30.434782028198242,95.45454406738281,30.434782028198242,30.434782028198242,12282,500,5748,33,5,16621068288,57982050304,2959908864,0
199,1729344826377,11533.146133422852,3720.0000000000005,1,1.39375,14356.036178588867,3720.0000000000005,1,1.39375,16122.110931396484,3720.0000000000005,1,1.39375,14600.522415161133,3720.0000000000005,1,1.39375,8206.147705078125,3720.0000000000005,1,1.39375,18950.892547607422,4650,0,1.39375,10506.798812866211,3720.0000000000005,1,1.39375,13699.535125732422,4650,0,1.39375,15175.994186401367,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,5,0,9.523809432983398,0,10,5,21.052631378173828,0,4.761904716491699,5,0,5,5,95,4.761904716491699,4.761904716491699,12282,503,5853,33,10,16621068288,57982050304,3000606720,0
199,1729344826577,11533.682266235352,3720.0000000000005,1,1.38125,14356.562149047852,3720.0000000000005,1,1.38125,16122.637802124023,3720.0000000000005,1,1.38125,14601.044387817383,3720.0000000000005,1,1.38125,8206.741241455078,4650,0,1.38125,18951.431442260742,3720.0000000000005,1,1.38125,10507.341003417969,3720.0000000000005,1,1.38125,13701.194732666016,4650,0,1.38125,15182.007873535156,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,35,35,35,35,36.842105865478516,35,38.095237731933594,35,36.842105865478516,35,35,35,36.842105865478516,100,35,35,12282,503,5948,33,10,16621068288,57982050304,3021737984,0
199,1729344826777,11533.843963623047,3720.0000000000005,1,1.4125,14356.679718017578,4650,0,1.4,16122.72607421875,3720.0000000000005,1,1.4,14601.130584716797,4650,0,1.4,8206.887268066406,4650,0,1.4,18951.569458007813,4650,0,1.4,10507.538482666016,4650,0,1.4,13703.081588745117,4650,0,1.4,15185.537643432617,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,0,4.761904716491699,0,5,9.523809432983398,0,5,100,0,0,4.761904716491699,5,9.523809432983398,0,0,0,12282,503,5940,33,4,16621068288,57982050304,3039883264,0
199,1729344826977,11533.945007324219,3720.0000000000005,1,1.3875,14356.737899780273,3720.0000000000005,1,1.3875,16122.801345825195,4650,0,1.3875,14601.164031982422,3720.0000000000005,1,1.3875,8206.991561889648,3720.0000000000005,1,1.3875,18951.578399658203,3720.0000000000005,1,1.3875,10507.658477783203,3720.0000000000005,1,1.3875,13704.60466003418,4650,0,1.39375,15188.470336914063,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,0,0,9.523809432983398,4.761904716491699,5.263157844543457,0,0,19.047618865966797,0,0,0,0,0,85,4.761904716491699,4.761904716491699,12282,503,6023,33,21,16621068288,57982050304,3057709056,0
199,1729344827177,11534.06657409668,4650,0,1.375,14356.802597045898,3720.0000000000005,1,1.375,16122.875991821289,3720.0000000000005,1,1.375,14601.215866088867,3720.0000000000005,1,1.375,8207.094665527344,4650,0,1.375,18951.598205566406,3720.0000000000005,1,1.375,10507.73779296875,3720.0000000000005,1,1.375,13706.139541625977,4650,0,1.375,15191.395645141602,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,5,4.761904716491699,0,0,9.523809432983398,0,0,0,0,0,0,0,5,100,0,0,12282,503,6269,33,23,16621068288,57982050304,3132362752,0
199,1729344827377,11534.157775878906,3720.0000000000005,1,1.40625,14356.847778320313,3720.0000000000005,1,1.40625,16122.94692993164,3720.0000000000005,1,1.40625,14601.254119873047,4650,0,1.40625,8207.109161376953,4650,0,1.40625,18951.69679260254,4650,0,1.40625,10507.792587280273,4650,0,1.40625,13708.233612060547,4650,0,1.40625,15194.779861450195,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,4.761904716491699,0,5,4.761904716491699,0,5,4.761904716491699,0,0,0,0,0,0,100,0,0,12282,503,6462,33,23,16621068288,57982050304,3148865536,0
199,1729344827577,11534.246124267578,3720.0000000000005,1,1.4125,14356.887237548828,3720.0000000000005,1,1.4125,16123.009384155273,3720.0000000000005,1,1.4125,14601.297653198242,3720.0000000000005,1,1.4125,8207.124740600586,3720.0000000000005,1,1.4125,18951.800262451172,4650,1,1.4125,10507.880081176758,3720.0000000000005,1,1.40625,13710.348434448242,4650,0,1.40625,15198.24560546875,3704,400,3973,4640,4640,4586,400,3712,4644,4641,4122,400,3712,400,400,4641,0,0,5,0,0,10,0,0,0,0,0,0,0,100,0,0,12282,503,6522,33,23,16621068288,57982050304,3149365248,0
