Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729363544379,23623.0477142334,3720.0000000000005,1,1.39375,24128.852020263672,3720.0000000000005,1,1.39375,27690.603805541992,3720.0000000000005,1,1.39375,21110.76644897461,3720.0000000000005,1,1.39375,17545.12794494629,3720.0000000000005,1,1.39375,27650.968841552734,4650,0,1.39375,18212.24546813965,3720.0000000000005,1,1.39375,27882.625869750977,3720.0000000000005,1,1.39375,42841.53038024902,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,0,3.4482758045196533,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,7.142857551574707,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,12282,544,5468,33,2,16621068288,57982050304,3518308352,0
199,1729363544379,23623.048599243164,3720.0000000000005,1,1.38125,24128.855041503906,3720.0000000000005,1,1.38125,27690.609771728516,3720.0000000000005,1,1.38125,21110.767211914063,3720.0000000000005,1,1.38125,17545.254364013672,4650,0,1.38125,27651.037063598633,4650,0,1.38125,18212.252822875977,3720.0000000000005,1,1.38125,27882.63233947754,3720.0000000000005,1,1.38125,42841.871185302734,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,0,3.4482758045196533,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,3.4482758045196533,3.4482758045196533,3.3333334922790527,7.142857551574707,3.4482758045196533,3.4482758045196533,3.3333334922790527,0,12282,544,5468,33,2,16621068288,57982050304,3526565888,0
199,1729363544579,23623.629913330078,3720.0000000000005,1,1.39375,24129.390182495117,3720.0000000000005,1,1.39375,27691.15867614746,3720.0000000000005,1,1.39375,21111.299026489258,3720.0000000000005,1,1.39375,17545.879470825195,3720.0000000000005,1,1.39375,27652.608627319336,4650,0,1.39375,18212.80630493164,3720.0000000000005,1,1.39375,27883.156799316406,3720.0000000000005,1,1.39375,42847.88862609863,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,41.666664123535156,30.434782028198242,30.434782028198242,29.16666603088379,30.434782028198242,30.434782028198242,30.434782028198242,82.60869598388672,34.78260803222656,30.434782028198242,30.434782028198242,30.434782028198242,12282,544,5407,33,2,16621068288,57982050304,3559526400,0
199,1729363544779,23623.687103271484,3720.0000000000005,1,1.38125,24129.917419433594,4650,0,1.38125,27691.256454467773,3720.0000000000005,1,1.38125,21111.372146606445,3720.0000000000005,1,1.38125,17545.910079956055,3720.0000000000005,1,1.38125,27654.26870727539,4650,0,1.38125,18212.952728271484,4650,0,1.38125,27883.219802856445,3720.0000000000005,1,1.38125,42851.31898498535,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,100,5,5,0,30.000001907348633,12282,547,5447,33,12,16621068288,57982050304,3619586048,0
199,1729363544979,23624.227310180664,3720.0000000000005,1,1.3,24130.449188232422,3720.0000000000005,1,1.39375,27691.78773498535,3720.0000000000005,1,1.39375,21111.9041595459,3720.0000000000005,1,1.39375,17546.47802734375,3720.0000000000005,1,1.39375,27655.847946166992,4650,0,1.39375,18213.553268432617,4650,0,1.39375,27883.752243041992,3720.0000000000005,1,1.39375,42857.295501708984,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,35,40,40,35,36.842105865478516,42.105262756347656,36.842105865478516,38.095237731933594,35,38.095237731933594,35,85.71428680419922,45,35,35,35,12282,547,5476,33,10,16621068288,57982050304,3639779328,0
199,1729363545179,23624.36279296875,4650,0,1.4,24130.50212097168,3720.0000000000005,1,1.4,27691.85090637207,3720.0000000000005,1,1.4,21111.976272583008,4650,0,1.4,17546.571029663086,4650,0,1.4,27657.627883911133,4650,0,1.4,18213.639251708984,4650,0,1.4,27883.794967651367,3720.0000000000005,1,1.4,42860.49172973633,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,0,0,0,0,0,100,0,0,0,0,5,0,5,0,10,0,12282,547,5449,33,2,16621068288,57982050304,3658989568,0
199,1729363545380,23624.44906616211,4650,0,1.39375,24130.560775756836,4650,0,1.39375,27691.86343383789,3720.0000000000005,1,1.39375,21112.030654907227,3720.0000000000005,1,1.39375,17546.607818603516,3720.0000000000005,1,1.39375,27659.153244018555,4650,0,1.39375,18213.676803588867,4650,0,1.39375,27883.872955322266,3720.0000000000005,1,1.39375,42863.28358459473,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,0,0,0,0,0,100,0,0,0,4.761904716491699,0,10,0,9.523809432983398,5,4.761904716491699,12282,547,5568,33,20,16621068288,57982050304,3706265600,0
199,1729363545580,23624.526748657227,4650,0,1.38125,24130.635696411133,4650,0,1.38125,27691.92657470703,3720.0000000000005,1,1.39375,21112.085525512695,3720.0000000000005,1,1.39375,17546.656616210938,3720.0000000000005,1,1.39375,27660.77279663086,4650,0,1.39375,18213.741607666016,4650,0,1.39375,27883.92317199707,3720.0000000000005,1,1.39375,42866.31201171875,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,0,5,0,0,0,100,0,0,0,5,5,5,5,0,5,0,12282,547,5796,33,23,16621068288,57982050304,3782258688,0
199,1729363545780,23624.60678100586,4650,0,1.4125,24130.712142944336,3720.0000000000005,1,1.4125,27692.000915527344,3720.0000000000005,1,1.4125,21112.14418029785,3720.0000000000005,1,1.4125,17546.677490234375,3720.0000000000005,1,1.4125,27662.745895385742,4650,0,1.41875,18213.780334472656,3720.0000000000005,1,1.41875,27883.97607421875,3720.0000000000005,1,1.41875,42869.571548461914,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,0,0,0,0,4.761904716491699,100,0,0,5,0,4.761904716491699,5,0,0,0,4.761904716491699,12282,547,6021,33,23,16621068288,57982050304,3796496384,0
199,1729363545980,23624.734405517578,3720.0000000000005,1,1.4125,24130.830017089844,3720.0000000000005,1,1.4125,27692.080535888672,3720.0000000000005,1,1.4125,21112.189834594727,3720.0000000000005,1,1.4125,17546.690719604492,3720.0000000000005,1,1.4125,27664.907516479492,4650,0,1.4125,18213.817764282227,3720.0000000000005,1,1.4125,27884.025802612305,3720.0000000000005,1,1.4125,42873.103103637695,3838,4643,3917,4400,4641,400,400,400,4416,400,400,3775,3988,3813,3706,4640,5,5,0,0,0,100,0,0,5,0,0,0,5,4.761904716491699,5,0,12282,547,6087,33,23,16621068288,57982050304,3812724736,0
