Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729321519749,505.2695007324219,3720.0000000000005,1,1.275,475.6949462890625,3720.0000000000005,1,1.275,408.9530029296875,4650,0,1.275,3180.5082092285156,3720.0000000000005,1,1.275,556.0082702636719,3720.0000000000005,1,1.275,403.3942413330078,3720.0000000000005,1,1.275,559.4034881591797,3720.0000000000005,1,1.275,407.98695373535156,3720.0000000000005,1,1.275,12282.235122680664,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,6.6666669845581055,0,10.344827651977539,10,6.6666669845581055,0,0,3.4482758045196533,6.45161247253418,0,0,0,6.6666669845581055,0,3.4482758045196533,3.4482758045196533,12282,496,5599,32,12,16621068288,57982050304,2482167808,0
199,1729321519749,505.27001953125,3720.0000000000005,1,1.38125,475.6986083984375,3720.0000000000005,1,1.38125,409.0083923339844,4650,0,1.38125,3180.6253662109375,4650,0,1.38125,556.008544921875,3720.0000000000005,1,1.38125,403.3944854736328,3720.0000000000005,1,1.38125,559.4037933349609,3720.0000000000005,1,1.38125,407.9911804199219,3720.0000000000005,1,1.38125,12282.513870239258,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,6.6666669845581055,0,10.344827651977539,10,6.6666669845581055,0,0,3.4482758045196533,6.45161247253418,0,0,0,6.6666669845581055,0,3.4482758045196533,3.4482758045196533,12282,496,5599,32,12,16621068288,57982050304,2490167296,0
200,1729321519950,505.8212890625,3720.0000000000005,1,1.29375,476.21844482421875,3720.0000000000005,1,1.29375,409.5434875488281,3720.0000000000005,1,1.29375,3182.372360229492,4650,0,1.29375,556.5320739746094,3720.0000000000005,1,1.29375,403.9191589355469,3720.0000000000005,1,1.29375,559.9257965087891,3720.0000000000005,1,1.29375,408.5120849609375,3720.0000000000005,1,1.29375,12288.509780883789,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,33.333335876464844,30.434782028198242,34.78260803222656,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,95.65217590332031,30.434782028198242,29.16666603088379,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,12282,496,5657,32,3,16621068288,57982050304,2523377664,0
200,1729321520150,505.99974060058594,3720.0000000000005,1,1.39375,476.5227813720703,3720.0000000000005,1,1.39375,409.764892578125,3720.0000000000005,1,1.39375,3183.943161010742,4650,0,1.39375,556.6145172119141,3720.0000000000005,1,1.39375,403.9629669189453,3720.0000000000005,1,1.39375,560.0114898681641,3720.0000000000005,1,1.39375,408.650390625,3720.0000000000005,1,1.39375,12291.948913574219,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,0,15.000000953674316,14.285715103149414,0,0,5,5,0,0,95.23809814453125,4.761904716491699,0,5,9.523809432983398,5,0,12282,503,5958,32,17,16621068288,57982050304,2569293824,0
199,1729321520350,506.58665466308594,3720.0000000000005,1,1.39375,477.1147155761719,3720.0000000000005,1,1.39375,410.3406066894531,3720.0000000000005,1,1.39375,3185.628143310547,4650,0,1.39375,557.1336975097656,3720.0000000000005,1,1.39375,404.4842529296875,3720.0000000000005,1,1.39375,560.5956420898438,3720.0000000000005,1,1.39375,409.17356872558594,3720.0000000000005,1,1.39375,12298.040054321289,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,35,35,36.842105865478516,35,35,38.095237731933594,35,35,35,100,35,36.842105865478516,36.842105865478516,35,35,40,12282,503,6094,32,24,16621068288,57982050304,2577420288,0
199,1729321520550,506.7342987060547,3720.0000000000005,1,1.3,477.31581115722656,3720.0000000000005,1,1.2875,410.50946044921875,3720.0000000000005,1,1.2875,3187.4524688720703,4650,0,1.2875,557.2656097412109,4650,0,1.2875,404.65191650390625,3720.0000000000005,1,1.2875,560.8098449707031,3720.0000000000005,1,1.2875,409.3413543701172,3720.0000000000005,1,1.2875,12301.807205200195,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,4.761904716491699,5,5,0,5,5,5,5.263157844543457,5,100,0,4.761904716491699,5,0,0,5,12282,503,6346,32,22,16621068288,57982050304,2613805056,0
199,1729321520750,506.7455749511719,3720.0000000000005,1,1.29375,477.4056854248047,3720.0000000000005,1,1.38125,410.5630187988281,3720.0000000000005,1,1.38125,3188.9447174072266,4650,0,1.38125,557.3715515136719,4650,0,1.38125,404.7163543701172,3720.0000000000005,1,1.38125,560.8748626708984,3720.0000000000005,1,1.38125,409.3898620605469,3720.0000000000005,1,1.38125,12304.640441894531,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,4.761904716491699,0,0,0,5,5,0,0,0,100,0,0,0,4.761904716491699,0,5,12282,503,6432,32,23,16621068288,57982050304,2637971456,0
199,1729321520950,506.74855041503906,3720.0000000000005,1,1.29375,477.50755310058594,3720.0000000000005,1,1.29375,410.63075256347656,3720.0000000000005,1,1.29375,3190.4247436523438,4650,0,1.29375,557.4887237548828,3720.0000000000005,1,1.29375,404.7399444580078,3720.0000000000005,1,1.29375,560.9396514892578,3720.0000000000005,1,1.29375,409.4216766357422,3720.0000000000005,1,1.29375,12307.467575073242,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,4.761904716491699,0,4.761904716491699,0,9.523809432983398,0,0,0,5,95,0,4.761904716491699,5,0,0,5,12282,503,6616,32,22,16621068288,57982050304,2699689984,0
199,1729321521151,506.77923583984375,3720.0000000000005,1,1.39375,477.5940399169922,3720.0000000000005,1,1.39375,410.6842498779297,3720.0000000000005,1,1.39375,3192.4156951904297,4650,0,1.39375,557.5955200195313,4650,0,1.39375,404.7444610595703,3720.0000000000005,1,1.39375,561.0225524902344,3720.0000000000005,1,1.39375,409.4747009277344,3720.0000000000005,1,1.39375,12310.780715942383,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,0,0,0,0,5,0,0,0,0,100,5,0,5,0,0,0,12282,503,6789,32,23,16621068288,57982050304,2717732864,0
199,1729321521351,506.7829284667969,3720.0000000000005,1,1.30625,477.7149353027344,3720.0000000000005,1,1.39375,410.7477111816406,3720.0000000000005,1,1.39375,3194.4862060546875,4650,0,1.39375,557.7048950195313,4650,0,1.39375,404.74888610839844,3720.0000000000005,1,1.39375,561.0838012695313,3720.0000000000005,1,1.39375,409.50628662109375,3720.0000000000005,1,1.39375,12314.23908996582,3763,4431,4489,4641,3798,3711,3705,4336,400,400,3760,400,400,4207,400,400,0,4.761904716491699,0,0,5,0,0,0,0,100,0,0,0,5,0,9.523809432983398,12282,503,6788,32,24,16621068288,57982050304,2717732864,0
