Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729361461600,22942.833267211914,3720.0000000000005,1,1.3875,23339.395904541016,3720.0000000000005,1,1.3875,26961.28450012207,3720.0000000000005,1,1.3875,20484.818817138672,4650,0,1.3875,13959.535522460938,3720.0000000000005,1,1.3875,26948.70472717285,3720.0000000000005,1,1.3875,17328.339279174805,3720.0000000000005,1,1.3875,27122.276611328125,3720.0000000000005,1,1.3875,25190.897537231445,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,3.3333334922790527,3.3333334922790527,3.3333334922790527,10,3.22580623626709,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,0,6.6666669845581055,0,12282,503,5819,33,11,16621068288,57982050304,3326693376,0
199,1729361461600,22942.83364868164,3720.0000000000005,1,1.38125,23339.39613342285,4650,1,1.35,26961.444747924805,4650,0,1.35,20484.90737915039,4650,0,1.35,13959.558486938477,4650,0,1.35,26948.72981262207,4650,0,1.35,17328.3690032959,4650,0,1.35,27122.300582885742,4650,0,1.35,25191.36883544922,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,3.3333334922790527,3.3333334922790527,3.3333334922790527,10,3.22580623626709,0,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,3.3333334922790527,0,3.3333334922790527,0,6.6666669845581055,0,12282,503,5844,33,2,16621068288,57982050304,3334692864,0
199,1729361461800,22943.386154174805,3720.0000000000005,1,1.38125,23339.951126098633,3720.0000000000005,1,1.38125,26963.16374206543,4650,0,1.38125,20485.425537109375,3720.0000000000005,1,1.38125,13960.074752807617,3720.0000000000005,1,1.38125,26949.266189575195,3720.0000000000005,1,1.38125,17328.89585876465,3720.0000000000005,1,1.38125,27122.798095703125,3720.0000000000005,1,1.38125,25197.230850219727,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,30.434782028198242,30.434782028198242,30.434782028198242,39.130435943603516,30.434782028198242,33.333335876464844,32,29.16666603088379,91.66667175292969,29.16666603088379,33.333335876464844,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,30.434782028198242,12282,503,5889,33,3,16621068288,57982050304,3382915072,0
199,1729361462000,22943.595504760742,3720.0000000000005,1,1.39375,23340.152938842773,3720.0000000000005,1,1.38125,26964.940307617188,3720.0000000000005,1,1.38125,20485.72964477539,4650,0,1.38125,13960.224014282227,3720.0000000000005,1,1.38125,26949.457946777344,3720.0000000000005,1,1.38125,17329.07211303711,3720.0000000000005,1,1.38125,27123.021240234375,4650,0,1.38125,25201.1866607666,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,10,10,45,14.285715103149414,0,5.263157844543457,5.263157844543457,5.263157844543457,95,10.526315689086914,10,5,0,14.285715103149414,0,10,12282,510,6014,33,16,16621068288,57982050304,3401314304,0
199,1729361462200,22944.142791748047,3720.0000000000005,1,1.2875,23340.673828125,3720.0000000000005,1,1.2875,26966.569061279297,4650,0,1.2875,20486.323303222656,3720.0000000000005,1,1.2875,13960.749694824219,3720.0000000000005,1,1.2875,26949.979690551758,3720.0000000000005,1,1.2875,17329.597595214844,3720.0000000000005,1,1.38125,27123.56072998047,3720.0000000000005,1,1.38125,25207.170364379883,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,35,35,35,40,35,35,35,35,100,35,35,35,35,35,35,35,12282,510,5962,33,4,16621068288,57982050304,3422961664,0
199,1729361462401,22944.326583862305,3720.0000000000005,1,1.3875,23340.747039794922,3720.0000000000005,1,1.3875,26968.315063476563,4650,0,1.3875,20486.433547973633,3720.0000000000005,1,1.3875,13960.78662109375,3720.0000000000005,1,1.3875,26950.04914855957,3720.0000000000005,1,1.3875,17329.691940307617,3720.0000000000005,1,1.3875,27123.623931884766,3720.0000000000005,1,1.3875,25210.369369506836,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,0,0,5,9.523809432983398,0,0,0,0,100,0,0,5,0,0,14.285715103149414,5,12282,510,5891,33,4,16621068288,57982050304,3430068224,0
199,1729361462601,22944.412811279297,3720.0000000000005,1,1.38125,23340.806076049805,3720.0000000000005,1,1.38125,26969.832244873047,4650,0,1.38125,20486.514129638672,3720.0000000000005,1,1.38125,13960.808029174805,3720.0000000000005,1,1.38125,26950.098693847656,3720.0000000000005,1,1.38125,17329.74006652832,3720.0000000000005,1,1.38125,27123.740600585938,4650,0,1.38125,25213.294372558594,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,0,0,0,0,0,0,0,5,100,5,4.761904716491699,5,5,5,0,0,12282,510,6008,33,24,16621068288,57982050304,3462361088,0
199,1729361462801,22944.514709472656,3720.0000000000005,1,1.38125,23340.875854492188,3720.0000000000005,1,1.38125,26971.43797302246,4650,0,1.38125,20486.597442626953,3720.0000000000005,1,1.38125,13960.834335327148,3720.0000000000005,1,1.38125,26950.17495727539,3720.0000000000005,1,1.38125,17329.799438476563,3720.0000000000005,1,1.36875,27123.86993408203,4650,0,1.36875,25216.30499267578,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,0,0,0,0,0,0,0,0,100,5,0,4.761904716491699,0,5,0,0,12282,510,6196,33,23,16621068288,57982050304,3546210304,0
199,1729361463001,22944.589782714844,3720.0000000000005,1,1.40625,23340.916397094727,3720.0000000000005,1,1.40625,26973.336944580078,4650,0,1.40625,20486.67709350586,3720.0000000000005,1,1.40625,13960.918380737305,3720.0000000000005,1,1.40625,26950.243713378906,3720.0000000000005,1,1.40625,17329.864471435547,3720.0000000000005,1,1.40625,27123.913955688477,3720.0000000000005,1,1.40625,25219.61212158203,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,0,4.761904716491699,0,0,0,0,0,0,100,5,5,0,0,0,5,0,12282,510,6401,33,23,16621068288,57982050304,3579580416,0
199,1729361463201,22944.645309448242,3720.0000000000005,1,1.4,23340.948333740234,3720.0000000000005,1,1.4,26975.419845581055,4650,0,1.4,20486.743698120117,3720.0000000000005,1,1.4,13960.99282836914,4650,0,1.4,26950.302490234375,3720.0000000000005,1,1.4,17329.908752441406,3720.0000000000005,1,1.4,27123.958694458008,3720.0000000000005,1,1.4,25223.039489746094,4633,4636,4641,3712,4641,400,3973,3743,400,4641,400,3970,400,3812,4641,400,0,0,4.761904716491699,0,0,0,0,4.761904716491699,100,0,5,5,4.761904716491699,0,4.761904716491699,0,12282,510,6509,33,23,16621068288,57982050304,3571494912,0
